pathway_id	gene_id	counts
hsa00140	3283	3
hsa00140	3284	3
hsa00140	3290	4
hsa00140	3291	2
hsa00140	3292	3
hsa00140	3293	2
hsa00140	3294	3
hsa00140	412	1
hsa00140	51144	5
hsa00140	51478	4
hsa00140	54490	11
hsa00140	54575	11
hsa00140	54576	11
hsa00140	54577	11
hsa00140	54578	11
hsa00140	54579	11
hsa00140	54600	11
hsa00140	54657	11
hsa00140	54658	11
hsa00140	54659	11
hsa00140	574537	11
hsa00140	6715	1
hsa00140	6716	2
hsa00140	6718	3
hsa00140	6783	1
hsa00140	6820	1
hsa00140	7363	12
hsa00140	7364	11
hsa00140	7365	11
hsa00140	7366	11
hsa00140	7367	11
hsa00140	7923	2
hsa00140	79644	1
hsa00140	79799	11
hsa00140	8630	3
hsa00140	8644	4
hsa00140	9420	2
hsa00190	100532726	6
hsa00190	10063	2
hsa00190	10312	10
hsa00190	10476	5
hsa00190	10632	2
hsa00190	10975	7
hsa00190	125965	7
hsa00190	126328	6
hsa00190	127124	8
hsa00190	1327	7
hsa00190	1329	7
hsa00190	1337	7
hsa00190	1339	7
hsa00190	1340	7
hsa00190	1345	7
hsa00190	1346	6
hsa00190	1347	6
hsa00190	1349	7
hsa00190	1350	7
hsa00190	1351	7
hsa00190	1352	3
hsa00190	1353	2
hsa00190	1355	3
hsa00190	1537	7
hsa00190	155066	8
hsa00190	170712	7
hsa00190	23545	10
hsa00190	245972	11
hsa00190	245973	8
hsa00190	27068	1
hsa00190	27089	7
hsa00190	29796	7
hsa00190	341947	7
hsa00190	374291	6
hsa00190	440567	7
hsa00190	4508	5
hsa00190	4509	5
hsa00190	4512	7
hsa00190	4513	7
hsa00190	4514	7
hsa00190	4519	7
hsa00190	4535	3
hsa00190	4536	3
hsa00190	4537	3
hsa00190	4538	3
hsa00190	4539	3
hsa00190	4540	3
hsa00190	4541	3
hsa00190	4694	6
hsa00190	4695	6
hsa00190	4696	6
hsa00190	4697	6
hsa00190	4698	6
hsa00190	4700	6
hsa00190	4701	6
hsa00190	4702	6
hsa00190	4704	6
hsa00190	4705	6
hsa00190	4706	6
hsa00190	4707	6
hsa00190	4708	6
hsa00190	4709	6
hsa00190	4710	6
hsa00190	4711	6
hsa00190	4712	6
hsa00190	4713	6
hsa00190	4714	6
hsa00190	4715	6
hsa00190	4716	6
hsa00190	4717	6
hsa00190	4718	6
hsa00190	4719	6
hsa00190	4720	6
hsa00190	4722	6
hsa00190	4723	6
hsa00190	4724	6
hsa00190	4725	6
hsa00190	4726	6
hsa00190	4728	6
hsa00190	4729	6
hsa00190	4731	6
hsa00190	479	1
hsa00190	495	3
hsa00190	496	3
hsa00190	498	5
hsa00190	506	5
hsa00190	50617	10
hsa00190	509	5
hsa00190	51079	6
hsa00190	513	5
hsa00190	51382	8
hsa00190	514	5
hsa00190	515	5
hsa00190	516	5
hsa00190	51606	9
hsa00190	517	5
hsa00190	518	5
hsa00190	521	2
hsa00190	522	5
hsa00190	523	8
hsa00190	525	8
hsa00190	526	8
hsa00190	527	10
hsa00190	528	8
hsa00190	529	8
hsa00190	533	9
hsa00190	534	8
hsa00190	535	10
hsa00190	537	9
hsa00190	539	5
hsa00190	54539	6
hsa00190	5464	1
hsa00190	55967	6
hsa00190	56901	6
hsa00190	6389	8
hsa00190	6390	8
hsa00190	6391	8
hsa00190	6392	8
hsa00190	64077	1
hsa00190	7381	7
hsa00190	7384	7
hsa00190	7385	7
hsa00190	7386	7
hsa00190	7388	7
hsa00190	84701	7
hsa00190	8992	8
hsa00190	90423	8
hsa00190	9114	11
hsa00190	9167	6
hsa00190	9296	8
hsa00190	9377	7
hsa00190	9550	8
hsa00190	9551	2
hsa00230	100	3
hsa00230	100507855	2
hsa00230	100526794	4
hsa00230	101060521	5
hsa00230	10201	3
hsa00230	10606	2
hsa00230	10621	6
hsa00230	10622	6
hsa00230	10623	6
hsa00230	107	35
hsa00230	10714	9
hsa00230	108	32
hsa00230	10846	2
hsa00230	109	35
hsa00230	111	37
hsa00230	11128	6
hsa00230	11164	1
hsa00230	112	34
hsa00230	113	32
hsa00230	114	34
hsa00230	115	35
hsa00230	115024	4
hsa00230	122481	2
hsa00230	122622	3
hsa00230	124583	2
hsa00230	131870	2
hsa00230	132	2
hsa00230	158	3
hsa00230	158067	2
hsa00230	159	3
hsa00230	1633	3
hsa00230	171568	6
hsa00230	1716	2
hsa00230	196883	33
hsa00230	203	2
hsa00230	204	2
hsa00230	205	2
hsa00230	221823	5
hsa00230	221830	4
hsa00230	2272	3
hsa00230	22875	1
hsa00230	22978	4
hsa00230	23649	4
hsa00230	246721	6
hsa00230	25885	4
hsa00230	2618	3
hsa00230	26289	2
hsa00230	270	2
hsa00230	271	2
hsa00230	27115	2
hsa00230	272	2
hsa00230	2766	1
hsa00230	2977	9
hsa00230	2982	9
hsa00230	2983	9
hsa00230	2984	1
hsa00230	2986	2
hsa00230	2987	2
hsa00230	29922	3
hsa00230	3000	3
hsa00230	30833	4
hsa00230	30834	4
hsa00230	318	2
hsa00230	3251	3
hsa00230	353	2
hsa00230	3614	3
hsa00230	3615	3
hsa00230	3704	4
hsa00230	374659	1
hsa00230	377841	3
hsa00230	390877	2
hsa00230	471	3
hsa00230	4830	3
hsa00230	4831	3
hsa00230	4832	3
hsa00230	4833	3
hsa00230	4860	4
hsa00230	4881	5
hsa00230	4882	4
hsa00230	4907	4
hsa00230	50484	5
hsa00230	50940	2
hsa00230	51082	6
hsa00230	51251	4
hsa00230	51292	1
hsa00230	5136	4
hsa00230	5137	4
hsa00230	5138	3
hsa00230	5139	6
hsa00230	5140	6
hsa00230	5141	3
hsa00230	5142	3
hsa00230	5143	3
hsa00230	5144	3
hsa00230	5145	2
hsa00230	5146	1
hsa00230	5147	1
hsa00230	5148	2
hsa00230	5149	1
hsa00230	5150	2
hsa00230	5151	2
hsa00230	5152	1
hsa00230	5153	3
hsa00230	5158	2
hsa00230	5167	6
hsa00230	5169	6
hsa00230	51728	6
hsa00230	5198	2
hsa00230	5236	7
hsa00230	5313	10
hsa00230	5315	8
hsa00230	53343	1
hsa00230	54107	7
hsa00230	5422	4
hsa00230	5424	9
hsa00230	5425	9
hsa00230	5426	7
hsa00230	5427	7
hsa00230	5430	7
hsa00230	5431	6
hsa00230	5432	6
hsa00230	5433	6
hsa00230	5434	7
hsa00230	5435	7
hsa00230	5436	6
hsa00230	5437	7
hsa00230	5438	6
hsa00230	5439	6
hsa00230	5440	7
hsa00230	5441	7
hsa00230	5471	3
hsa00230	548644	6
hsa00230	55276	7
hsa00230	5557	4
hsa00230	5558	4
hsa00230	55703	6
hsa00230	55718	5
hsa00230	55811	3
hsa00230	55821	2
hsa00230	5631	5
hsa00230	5634	5
hsa00230	56655	7
hsa00230	56953	4
hsa00230	56985	2
hsa00230	57804	9
hsa00230	58497	1
hsa00230	6240	4
hsa00230	6241	5
hsa00230	64425	4
hsa00230	646625	2
hsa00230	654364	3
hsa00230	661	6
hsa00230	7498	5
hsa00230	8382	3
hsa00230	84172	4
hsa00230	84265	6
hsa00230	84284	3
hsa00230	84618	4
hsa00230	8622	2
hsa00230	8654	2
hsa00230	87178	3
hsa00230	8833	3
hsa00230	9060	4
hsa00230	9061	4
hsa00230	93034	4
hsa00230	953	3
hsa00230	9533	6
hsa00230	954	1
hsa00230	955	2
hsa00230	956	3
hsa00230	957	2
hsa00230	9583	3
hsa00230	9615	2
hsa00232	10	4
hsa00232	1544	9
hsa00232	1548	7
hsa00232	7498	5
hsa00232	9	4
hsa00240	100526794	4
hsa00240	101060521	5
hsa00240	10201	3
hsa00240	10587	2
hsa00240	10621	6
hsa00240	10622	6
hsa00240	10623	6
hsa00240	10714	9
hsa00240	11128	6
hsa00240	114112	2
hsa00240	115024	4
hsa00240	124583	2
hsa00240	129607	2
hsa00240	139596	2
hsa00240	1503	2
hsa00240	151531	3
hsa00240	1633	3
hsa00240	1635	2
hsa00240	171568	6
hsa00240	1723	2
hsa00240	1806	5
hsa00240	1807	5
hsa00240	1841	2
hsa00240	1854	2
hsa00240	1890	4
hsa00240	221830	4
hsa00240	22978	4
hsa00240	23649	4
hsa00240	246721	6
hsa00240	25885	4
hsa00240	29922	3
hsa00240	30833	4
hsa00240	30834	4
hsa00240	318	2
hsa00240	3704	4
hsa00240	377841	3
hsa00240	4830	3
hsa00240	4831	3
hsa00240	4832	3
hsa00240	4833	3
hsa00240	4860	4
hsa00240	4907	4
hsa00240	50484	5
hsa00240	50808	1
hsa00240	51082	6
hsa00240	51251	4
hsa00240	51727	2
hsa00240	51728	6
hsa00240	51733	5
hsa00240	54107	7
hsa00240	5422	4
hsa00240	5424	9
hsa00240	5425	9
hsa00240	5426	7
hsa00240	5427	7
hsa00240	5430	7
hsa00240	5431	6
hsa00240	5432	6
hsa00240	5433	6
hsa00240	5434	7
hsa00240	5435	7
hsa00240	5436	6
hsa00240	5437	7
hsa00240	5438	6
hsa00240	5439	6
hsa00240	5440	7
hsa00240	5441	7
hsa00240	548644	6
hsa00240	54963	3
hsa00240	5557	4
hsa00240	5558	4
hsa00240	55703	6
hsa00240	55718	5
hsa00240	56474	2
hsa00240	56655	7
hsa00240	56953	4
hsa00240	57804	9
hsa00240	6240	4
hsa00240	6241	5
hsa00240	64425	4
hsa00240	654364	3
hsa00240	661	6
hsa00240	7083	3
hsa00240	7084	3
hsa00240	7296	2
hsa00240	7298	3
hsa00240	7371	3
hsa00240	7372	3
hsa00240	7378	3
hsa00240	790	3
hsa00240	79077	2
hsa00240	83549	3
hsa00240	8382	3
hsa00240	84172	4
hsa00240	84265	6
hsa00240	84618	4
hsa00240	87178	3
hsa00240	93034	4
hsa00240	953	3
hsa00240	9533	6
hsa00240	955	2
hsa00240	956	3
hsa00240	957	2
hsa00240	9583	3
hsa00240	978	3
hsa00250	122622	3
hsa00250	1373	6
hsa00250	158	3
hsa00250	159	3
hsa00250	18	7
hsa00250	189	6
hsa00250	2346	3
hsa00250	2571	7
hsa00250	2572	7
hsa00250	259307	8
hsa00250	2673	3
hsa00250	27165	8
hsa00250	2744	8
hsa00250	2746	6
hsa00250	2747	6
hsa00250	2752	8
hsa00250	2805	10
hsa00250	2806	11
hsa00250	284716	2
hsa00250	2875	5
hsa00250	339983	2
hsa00250	435	4
hsa00250	440	2
hsa00250	443	3
hsa00250	445	4
hsa00250	5471	3
hsa00250	56954	1
hsa00250	57494	2
hsa00250	64902	3
hsa00250	790	3
hsa00250	7915	3
hsa00250	84706	5
hsa00250	8528	2
hsa00250	8659	3
hsa00250	9945	3
hsa00260	102724560	4
hsa00260	10993	6
hsa00260	113675	6
hsa00260	132158	4
hsa00260	1491	5
hsa00260	1610	5
hsa00260	1738	7
hsa00260	1757	2
hsa00260	189	6
hsa00260	211	3
hsa00260	212	3
hsa00260	23464	1
hsa00260	2593	3
hsa00260	26227	4
hsa00260	2628	3
hsa00260	2653	2
hsa00260	27232	1
hsa00260	2731	3
hsa00260	275	4
hsa00260	29958	2
hsa00260	29968	5
hsa00260	314	5
hsa00260	4128	13
hsa00260	4129	13
hsa00260	441531	5
hsa00260	501	15
hsa00260	51268	4
hsa00260	5223	5
hsa00260	5224	5
hsa00260	55349	2
hsa00260	5723	4
hsa00260	635	3
hsa00260	63826	1
hsa00260	6470	7
hsa00260	6472	7
