mmu_geneid	mmu_counts	hsa_geneid	has_counts	dme_geneid	dme_counts
20382	2	6734	1		
20383	2	6737	1		
20384	2	6738	1		
20387	2	6741	1		
20397	2	6742	3		
20400	2	6745	1		
20430	2	6746	1		
20443	2	6747	1		
20445	2	6748	1		
20447	2	6750	1		
20448	2	6751	2		
20454	2	6752	3		
20469	2	6753	1		
20496	2	6754	1		
20508	2	6755	2		
20510	2	6756	1		
20511	2	6757	1		
20583	2	6760	1		
20598	2	6768	1		
20602	2	6770	1		
20605	2	6772	17		
20609	2	6773	8		
20614	2	6774	18		
20617	2	6775	3		
20619	2	6776	10		
20638	2	6777	11		
20641	2	6778	3		
20661	2	6779	1		
20684	2	6783	1		
20690	2	6785	1		
20724	2	6786	2		
20737	2	6788	2		
20751	2	6789	5		
20768	2	6790	1		
20773	2	6794	5		
20775	2	6799	1		
20826	2	6804	4		
20844	2	6809	2		
20866	2	6810	2		
20908	2	6811	1		
20909	2	6812	1		
21337	2	6817	1		
21338	2	6818	1		
21343	2	6820	1		
21417	2	6821	1		
21423	2	6822	3		
21673	2	6833	3		
21682	2	6839	1		
21743	2	6843	1		
21762	2	6844	5		
21781	2	6845	1		
21787	2	6846	2		
21819	2	6850	11		
21833	2	6857	1		
21834	2	6865	2		
21859	2	6868	3		
21897	2	6869	3		
21915	2	6870	2		
21935	2	6872	1		
21975	2	6873	1		
21976	2	6874	3		
22032	2	6875	3		
22041	2	6877	2		
22045	2	6878	2		
22123	2	6879	1		
22138	2	6880	2		
22142	2	6881	2		
22143	2	6882	1		
22144	2	6883	1		
22145	2	6884	2		
22146	2	6885	16		
22147	2	6888	4		
22151	2	6890	5		
22152	2	6891	5		
22153	2	6892	1		
22154	2	6897	1		
22169	2	6898	7		
22177	2	6900	1		
22193	2	6901	1		
22194	2	6907	1		
22195	2	6908	6		
22201	2	6915	3		
22202	2	6916	3		
22215	2	6921	4		
22227	2	6923	4		
22234	2	6927	1		
22239	2	6928	1		
22256	2	6929	2		
22275	2	6932	12		
22276	2	6934	12		
22319	2	6935	2		
22320	2	6945	1		
22352	2	6948	1		
22355	2	6949	1		
22612	2	6996	1		
22642	2	6999	2		
22789	2	7003	1		
23827	2	7004	1		
23832	2	7005	1		
23844	2	7006	2		
23920	2	7010	5		
23921	2	7015	1		
23956	2	7018	2		
23984	2	7019	1		
23986	2	7023	1		
23996	2	7027	2		
23997	2	7029	1		
24061	2	7030	1		
24064	2	7035	1		
24075	2	7037	4		
24127	2	7038	2		
24128	2	7039	7		
26357	2	7040	28		
26358	2	7042	27		
26374	2	7043	24		
26384	2	7044	1		
26403	2	7046	15		
26407	2	7048	15		
26433	2	7052	1		
26458	2	7054	8		
26462	2	7056	1		
26556	2	7057	11		
26557	2	7058	5		
26558	2	7059	5		
26569	2	7060	5		
26874	2	7064	2		
26877	2	7066	1		
26878	2	7067	2		
26879	2	7068	2		
26914	2	7070	1		
26938	2	7074	6		
27053	2	7076	1		
27057	2	7078	2		
27219	2	7082	6		
27226	2	7083	3		
27369	2	7084	3		
27388	2	7086	4		
27392	2	7094	4		
27413	2	7095	2		
27425	2	7096	2		
27756	2	7097	16		
28000	2	7098	5		
29807	2	7099	21		
29863	2	7100	5		
29869	2	7102	1		
30956	2	7108	2		
50492	2	7113	2		
50493	2	7114	1		
50505	2	7122	4		
50528	2	7124	45		
50701	2	7125	1		
50723	2	7128	5		
50783	2	7132	17		
50798	2	7133	4		
50877	2	7134	5		
50880	2	7137	5		
50935	2	7139	4		
51788	2	7143	4		
51796	2	7148	4		
51797	2	7156	2		
52064	2	7157	33		
52466	2	7159	1		
53331	2	7161	4		
53603	2	7166	3		
53857	2	7167	6		
53880	2	7168	5		
53897	2	7169	4		
54124	2	7170	6		
54188	2	7171	4		
54196	2	7172	1		
54364	2	7173	7		
54391	2	7175	3		
54447	2	7184	7		
54486	2	7185	8		
54519	2	7186	15		
54598	2	7187	10		
54601	2	7188	7		
54613	2	7189	20		
54616	2	7201	2		
54720	2	7205	1		
55936	2	7220	3		
55981	2	7225	1		
55985	2	7226	1		
56176	2	7248	4		
56189	2	7249	6		
56212	2	7251	1		
56216	2	7252	3		
56217	2	7253	4		
56219	2	7263	4		
56221	2	7264	3		
56233	2	7270	1		
56274	2	7272	1		
56324	2	7273	2		
56325	2	7277	3		
56351	2	7278	3		
56357	2	7280	3		
56369	2	7291	1		
56379	2	7292	1		
56386	2	7293	1		
56422	2	7294	1		
56424	2	7296	2		
56448	2	7297	8		
56463	2	7298	3		
56468	2	7299	4		
56532	2	7305	2		
56550	2	7306	3		
56613	2	7307	2		
56626	2	7311	1		
56644	2	7314	1		
56703	2	7316	1		
56708	2	7317	2		
56716	2	7318	2		
56720	2	7319	1		
56727	2	7320	1		
56737	2	7321	2		
56744	2	7322	3		
56749	2	7323	2		
56791	2	7324	2		
57028	2	7325	2		
57260	2	7326	3		
57266	2	7327	3		
57296	2	7328	1		
57317	2	7329	4		
57349	2	7332	2		
57423	2	7334	1		
57913	2	7337	2		
57914	2	7341	1		
58181	2	7345	1		
58193	2	7350	2		
58200	2	7353	1		
58801	2	7357	2		
58861	2	7358	5		
58866	2	7360	5		
58875	2	7363	12		
58994	2	7364	11		
58998	2	7365	11		
59027	2	7366	11		
59029	2	7367	11		
59048	2	7368	2		
59287	2	7371	3		
63857	2	7372	3		
63958	2	7373	1		
64177	2	7374	2		
64292	2	7378	3		
64385	2	7381	7		
64580	2	7384	7		
65964	2	7385	7		
66094	2	7386	7		
66102	2	7388	7		
66105	2	7389	2		
66161	2	7390	2		
66197	2	7398	1		
66234	2	7403	1		
66248	2	7404	1		
66268	2	7407	1		
66340	2	7408	6		
66358	2	7409	10		
66373	2	7410	12		
66397	2	7412	7		
66401	2	7414	7		
66413	2	7415	2		
66422	2	7416	6		
66454	2	7417	5		
66467	2	7419	7		
66469	2	7421	3		
66473	2	7422	15		
66586	2	7423	6		
66588	2	7424	7		
66679	2	7428	4		
66789	2	7430	6		
66812	2	7431	2		
66853	2	7433	1		
66902	2	7434	2		
66948	2	7442	2		
66997	2	7448	4		
67030	2	7450	5		
67031	2	7453	1		
67054	2	7454	8		
67078	2	7465	1		
67089	2	7466	1		
67164	2	7468	2		
67168	2	7471	8		
67260	2	7472	8		
67292	2	7473	9		
67311	2	7474	8		
67332	2	7475	8		
67375	2	7476	8		
67555	2	7477	8		
67556	2	7478	8		
67569	2	7479	8		
67574	2	7480	8		
67603	2	7481	8		
67605	2	7482	8		
67615	2	7483	8		
67665	2	7484	8		
67678	2	7490	1		
67724	2	7494	3		
67819	2	7498	5		
67868	2	7507	1		
67870	2	7508	1		
67873	2	7512	1		
67880	2	7514	5		
67909	2	7515	1		
67951	2	7516	1		
67980	2	7517	1		
67993	2	7518	1		
67996	2	7520	1		
68010	2	7525	2		
68133	2	7529	7		
68134	2	7531	7		
68135	2	7532	6		
68180	2	7533	6		
68188	2	7534	8		
68231	2	7535	5		
68318	2	7538	1		
68563	2	7546	1		
68631	2	7704	3		
68636	2	7706	3		
68671	2	7709	2		
68870	2	7779	1		
68961	2	7786	1		
69008	2	7791	1		
69077	2	7802	1		
69215	2	7805	1		
69253	2	7832	1		
69276	2	7841	3		
69524	2	7846	3		
69564	2	7849	4		
69606	2	7850	6		
69635	2	7852	6		
69654	2	7855	7		
69802	2	7867	2		
69923	2	7869	1		
69961	2	7874	4		
70008	2	7879	5		
70025	2	7915	3		
70059	2	7919	4		
70086	2	7923	2		
70247	2	7932	1		
70315	2	7941	2		
70325	2	7976	8		
70439	2	7979	3		
70503	2	7991	3		
70750	2	8001	1		
70789	2	8013	1		
70827	2	8021	2		
70891	2	8027	2		
71116	2	8029	1		
71519	2	8030	2		
71665	2	8031	2		
71685	2	8050	1		
71711	2	8061	3		
71742	2	8065	1		
71743	2	8074	8		
71754	2	8085	1		
71755	2	8086	1		
71760	2	8087	1		
71761	2	8091	2		
71775	2	8106	2		
71780	2	8115	1		
71828	2	8120	1		
71883	2	8148	2		
71949	2	8174	2		
71960	2	8175	1		
71991	2	8189	2		
72039	2	8200	3		
72054	2	8202	1		
72077	2	8218	6		
72084	2	8228	1		
72149	2	8243	2		
72297	2	8277	4		
72472	2	8288	1		
72512	2	8290	3		
72584	2	8294	3		
72947	2	8295	1		
72993	2	8302	1		
73166	2	8309	4		
73251	2	8310	8		
73341	2	8312	6		
73373	2	8313	6		
73532	2	8315	1		
73666	2	8317	1		
73710	2	8318	1		
73914	2	8321	7		
74080	2	8322	7		
74097	2	8323	7		
74126	2	8324	7		
74129	2	8325	7		
74153	2	8326	7		
74185	2	8329	2		
74241	2	8330	2		
74256	2	8331	2		
74338	2	8332	2		
74340	2	8334	2		
74409	2	8335	2		
74442	2	8336	2		
74450	2	8337	2		
74451	2	8338	2		
74468	2	8339	3		
74673	2	8340	3		
74754	2	8341	3		
75320	2	8342	3		
75686	2	8343	3		
75735	2	8344	3		
75826	2	8345	3		
75986	2	8346	3		
76025	2	8347	3		
76089	2	8348	3		
76267	2	8349	3		
76279	2	8350	3		
76383	2	8351	3		
76408	2	8352	3		
76522	2	8353	3		
76551	2	8354	3		
76563	2	8355	3		
76703	2	8356	3		
76722	2	8357	3		
76768	2	8358	3		
76884	2	8359	3		
76893	2	8360	3		
76974	2	8361	3		
77042	2	8362	3		
77125	2	8363	3		
77559	2	8364	3		
77579	2	8365	3		
77605	2	8366	3		
77626	2	8367	3		
77697	2	8368	3		
77974	2	8369	3		
78038	2	8370	3		
78405	2	8372	2		
78428	2	8379	3		
78651	2	8382	3		
78752	2	8383	1		
78754	2	8386	1		
78801	2	8387	1		
78914	2	8388	1		
78923	2	8390	1		
78928	2	8392	1		
79221	2	8394	6		
79235	2	8395	6		
79464	2	8396	3		
80797	2	8398	10		
80883	2	8399	10		
80901	2	8408	3		
80908	2	8411	3		
81489	2	8417	2		
83398	2	8424	1		
83490	2	8431	1		
83602	2	8434	1		
83770	2	8435	1		
83771	2	8437	1		
93672	2	8438	1		
93683	2	8440	4		
93687	2	8443	2		
93898	2	8449	1		
93960	2	8450	2		
94041	2	8451	2		
94045	2	8452	1		
94176	2	8453	4		
94181	2	8454	8		
94192	2	8458	1		
94224	2	8463	1		
96979	2	8464	1		
97112	2	8471	6		
97541	2	8473	1		
98256	2	8480	2		
98711	2	8482	1		
99035	2	8484	1		
99375	2	8487	1		
99470	2	8491	1		
99663	2	8493	1		
99709	2	8498	1		
99730	2	8503	65		
100163	2	8504	1		
100910	2	8506	1		
101502	2	8509	2		
102093	2	8513	3		
102162	2	8515	7		
102448	2	8516	8		
102580	2	8517	32		
102614	2	8519	1		
102626	2	8520	1		
103534	2	8525	4		
103711	2	8526	4		
104112	2	8527	4		
104158	2	8528	2		
104394	2	8529	2		
104923	2	8531	1		
105663	2	8534	1		
105727	2	8536	1		
105782	2	8540	3		
105988	2	8542	1		
106564	2	8546	1		
107029	2	8550	1		
107477	2	8553	1		
107568	2	8554	3		
107607	2	8555	1		
107626	2	8556	1		
107652	2	8559	1		
107766	2	8560	2		
107823	2	8563	1		
107885	2	8564	2		
107895	2	8565	1		
108014	2	8566	2		
108015	2	8569	3		
108072	2	8573	1		
108073	2	8574	1		
108078	2	8590	1		
108100	2	8600	5		
108105	2	8605	19		
108143	2	8607	1		
108148	2	8608	2		
108150	2	8611	7		
108156	2	8612	7		
108653	2	8613	7		
108760	2	8622	2		
109079	2	8625	3		
109333	2	8626	1		
109660	2	8630	3		
109674	2	8631	1		
109685	2	8633	1		
109697	2	8639	5		
110074	2	8643	3		
110094	2	8644	4		
110115	2	8645	1		
110135	2	8646	1		
110173	2	8647	2		
110257	2	8648	1		
110279	2	8649	1		
110379	2	8650	1		
110391	2	8651	8		
110417	2	8654	2		
110542	2	8655	1		
110637	2	8659	3		
110809	2	8660	8		
110834	2	8661	1		
110948	2	8662	1		
114671	2	8663	1		
114714	2	8664	1		
116837	2	8665	1		
116939	2	8666	1		
117109	2	8667	2		
117147	2	8668	1		
140481	2	8669	1		
140557	2	8671	3		
140580	2	8672	2		
140740	2	8673	2		
170716	2	8674	1		
170732	2	8675	1		
170755	2	8676	1		
170787	2	8677	1		
171168	2	8678	1		
171171	2	8681	19		
171212	2	8683	2		
192156	2	8685	1		
192157	2	8692	2		
192160	2	8693	2		
192166	2	8694	4		
192185	2	8697	5		
192195	2	8698	2		
192198	2	8702	3		
192654	2	8703	5		
192662	2	8704	6		
