pathway_id	gene_id	counts
mmu00140	223706	2
mmu00140	226105	8
mmu00140	226143	8
mmu00140	231396	11
mmu00140	243085	11
mmu00140	243881	5
mmu00140	27400	3
mmu00140	337924	5
mmu00140	380997	2
mmu00140	394430	11
mmu00140	394432	11
mmu00140	394433	11
mmu00140	394434	11
mmu00140	394435	11
mmu00140	394436	11
mmu00140	404195	8
mmu00140	433247	8
mmu00140	53973	5
mmu00140	54200	1
mmu00140	545123	2
mmu00140	552899	11
mmu00140	56348	5
mmu00140	56388	5
mmu00140	56448	2
mmu00140	57357	1
mmu00140	69888	8
mmu00140	71754	2
mmu00140	71773	11
mmu00140	72082	8
mmu00140	72094	11
mmu00140	72303	8
mmu00140	76279	2
mmu00140	78925	1
mmu00140	94215	11
mmu00140	94224	2
mmu00140	94284	11
mmu00190	100041273	6
mmu00190	100042503	6
mmu00190	104130	6
mmu00190	108664	7
mmu00190	110323	7
mmu00190	110935	6
mmu00190	114143	7
mmu00190	11944	3
mmu00190	11945	3
mmu00190	11946	5
mmu00190	11947	5
mmu00190	11949	5
mmu00190	11950	5
mmu00190	11951	5
mmu00190	11957	5
mmu00190	11958	2
mmu00190	11964	6
mmu00190	11966	6
mmu00190	11972	9
mmu00190	11973	6
mmu00190	11974	6
mmu00190	11975	8
mmu00190	11984	8
mmu00190	12856	2
mmu00190	12857	7
mmu00190	12858	7
mmu00190	12859	7
mmu00190	12861	7
mmu00190	12862	7
mmu00190	12864	7
mmu00190	12865	6
mmu00190	12866	6
mmu00190	12867	7
mmu00190	12868	7
mmu00190	12869	7
mmu00190	140494	8
mmu00190	17705	5
mmu00190	17706	5
mmu00190	17708	7
mmu00190	17709	7
mmu00190	17710	7
mmu00190	17711	7
mmu00190	17716	3
mmu00190	17717	3
mmu00190	17718	3
mmu00190	17719	3
mmu00190	17720	3
mmu00190	17721	3
mmu00190	17722	3
mmu00190	17991	6
mmu00190	17992	6
mmu00190	17993	6
mmu00190	17995	6
mmu00190	192113	1
mmu00190	20463	6
mmu00190	21871	8
mmu00190	22272	7
mmu00190	22273	7
mmu00190	225887	6
mmu00190	226139	3
mmu00190	226646	6
mmu00190	227197	6
mmu00190	228033	5
mmu00190	230075	6
mmu00190	239760	6
mmu00190	242341	9
mmu00190	27060	8
mmu00190	27425	2
mmu00190	28080	5
mmu00190	333182	7
mmu00190	338375	6
mmu00190	407785	6
mmu00190	407790	6
mmu00190	54405	6
mmu00190	54411	7
mmu00190	57423	2
mmu00190	595136	6
mmu00190	623286	6
mmu00190	66043	5
mmu00190	66046	6
mmu00190	66052	8
mmu00190	66091	6
mmu00190	66108	6
mmu00190	66142	7
mmu00190	66144	6
mmu00190	66152	7
mmu00190	66218	6
mmu00190	66237	6
mmu00190	66290	6
mmu00190	66335	6
mmu00190	66377	6
mmu00190	66414	6
mmu00190	66416	6
mmu00190	66445	7
mmu00190	66495	6
mmu00190	66576	7
mmu00190	66594	7
mmu00190	66694	7
mmu00190	66916	6
mmu00190	66925	8
mmu00190	66945	8
mmu00190	67003	7
mmu00190	67126	5
mmu00190	67130	6
mmu00190	67184	6
mmu00190	67264	6
mmu00190	67273	6
mmu00190	67530	7
mmu00190	67680	8
mmu00190	67895	1
mmu00190	67942	5
